"","X","Tag","ID_Number","Grid.x","Habitat","Grid.Session.x","date.x","BaitSession","BaitGrid.x","Site.ID.x","Trap.x","Species","Recapture.x","Sex","Age","FINAL_RbPresent_First","Pr.IPA..ng.mL.","Et.IPA..ng.mL.","Rb.presence.last","Column2","Biomarker","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y","Residency"
"498",498,52,"52_43182","R4","Riparian","R4-2","3/23/2018","Spring 2018","R4_Spring 2018","R4-2",5.4,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2018,"Rhodamine","Spring","R4","75","0.5",1.03715075307207,-0.170708554591531,"R4_Spring ",2
"499",499,53,"53_43183","R2","Riparian","R2-2","3/24/2018","Spring 2018","R2_Spring 2018","R2-2",1.4,"Raccoon","Initial","F","Adult",0,"","",NA,"0",0,2018,"Rhodamine","Spring","R2","75","0.5",0.0410747090855862,0.19997982050451,"R2_Spring ",1
"500",500,54,"54_43190","R6","Riparian","R6-2","3/31/2018","Spring 2018","R6_Spring 2018","R6-2",4.1,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2018,"Rhodamine","Spring","R6","75","0.5",-0.2068998841559,-1.11468702827564,"R6_Spring ",1
"502",502,56,"56_43193","R3","Riparian","R3-2","4/3/2018","Spring 2018","R3_Spring 2018","R3-2",5.5,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2018,"Rhodamine","Spring","R3","75","0.5",0.114837146635641,-0.26891236366577,"R3_Spring ",5
"504",504,58,"58_43194","R3","Riparian","R3-2","4/4/2018","Spring 2018","R3_Spring 2018","R3-2",4.3,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2018,"Rhodamine","Spring","R3","75","0.5",0.114837146635641,-0.26891236366577,"R3_Spring ",1
"506",506,60,"60_43197","P3","Pine","P3-2","4/7/2018","Spring 2018","P3_Spring 2018","P3-2",2.2,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2018,"Rhodamine","Spring","P3","75","0.5",-0.945917040512127,-0.777548236902218,"P3_Spring ",2
"507",507,61,"61_43198","R3","Riparian","R3-2","4/8/2018","Spring 2018","R3_Spring 2018","R3-2",2.4,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2018,"Rhodamine","Spring","R3","75","0.5",0.114837146635641,-0.26891236366577,"R3_Spring ",1
"510",510,64,"64_43212","W5","Wetland","W5-2","4/22/2018","Spring 2018","W5_Spring 2018","W5-2",1.5,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2018,"Rhodamine","Spring","W5","75","0.5",-0.412348253919155,-0.907814010153179,"W5_Spring ",3
"511",511,65,"65_43213","W6","Wetland","W6-2","4/23/2018","Spring 2018","W6_Spring 2018","W6-2",1.1,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2018,"Rhodamine","Spring","W6","75","0.5",-0.45778183190283,-0.443434390896726,"W6_Spring ",1
"512",512,66,"66_43214","W3","Wetland","W3-2","4/24/2018","Spring 2018","W3_Spring 2018","W3-2",4.1,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2018,"Rhodamine","Spring","W3","75","0.5",-0.882766170070536,-0.999514703823067,"W3_Spring ",2
